tld,count
edu.pt,41
org.bo,41
in.rs,41
wa.us,41
mt,41
rv.ua,41
g12.br,40
camera,40
gov.lb,40
sumy.ua,40
ventures,40
name.vn,40
jor.br,39
co.ma,39
wien,39
org.do,39
edu.mo,39
co.it,39
amsterdam,39
org.gr,39
gov.dz,39
okinawa,39
university,39
gov.ly,39
mw,38
gov.ve,38
org.gt,38
estate,38
il.us,38
net.gr,38
arq.br,38
sl,38
edu.lb,38
vision,38
ax,37
roma.it,37
institute,37
edu.mn,37
cafe,37
mus.br,37
czest.pl,37
edu.ge,37
gov.ba,37
gov.tt,37
ne,37
church,36
xin,36
ac.ug,36
fyi,36
gov.kh,36
repair,36
bo.it,36
energy,35
cn.ua,35
ma.us,35
fitness,35
com.fj,35
graphics,34
or.us,34
menu,34
org.qa,34
xn--3e0b707e,34
na.it,34
mo,34
ny.us,34
gov.bt,34
com.fr,34
jetzt,34
shoes,33
etc.br,33
fl.us,33
brussels,33
club.tw,33
kitchen,33
com.ge,33
zj.cn,33
singles,33
nc.us,33
edu.ly,33
best,32
xn--90ais,32
xn--6frz82g,32
org.pt,32
aeroport.fr,32
edu.ee,32
cv.ua,32
kiwi,32
edu.et,32
consulting,32
slask.pl,32
km.ua,32
gov.la,32
com.hn,32
games,32
gov.mk,32
gov.tn,32
town,32
fi.it,32
biz.id,32
edu.ni,32
dog,32
ist,31
org.mo,31
partners,31
milano.it,31
toys,31
tr,31
esp.br,31
va,31
solar,31
bj,31
malopolska.pl,31
immo,31
edu.py,30
fi.cr,30
moda,30
express,30
edu.sy,30
ac.ru,30
mil.ru,30
ky,30
yokohama,30
gov.mz,30
net.uk,30
rip,30
kent.sch.uk,30
pila.pl,30
net.ph,29
net.bd,29
js.cn,29
poker,29
fashion,29
game.tw,29
properties,29
net.ar,29
show,29
how,28
ha.cn,28
radom.pl,28
sk.ca,28
nov.ru,28
bar,28
mv,28
fm.br,28
gov.cy,28
gp,27
org.zm,27
clinic,27
gov.jm,27
tienda,27
kirov.ru,27
ar,27
mi.us,27
sa.it,27
sale,27
tg,27
or.ug,27
pro.vn,26
mil.id,26
finance,26
edu.za,26
of.by,26
sch.ir,26
com.om,26
nj.us,26
new,26
beer,26
mo.it,26
info.vn,26
kalisz.pl,26
co.tt,26
net.mx,26
edu.pa,26
pa.us,25
ac.lk,25
ac.cy,25
xn--80aswg,25
com.af,25
wales,25
co.us,25
info.ve,25
hamburg,25
org.lb,25
com.pr,25
cg,25
ac.be,25
vi.it,25
org.kw,25
uz.ua,25
